Category,COST ACCOUNT,ITEM,U.O.M.,FOUN.,GF,FF,SF,TF,FOF,RF,BUDGET QTY,ENG. QTY
MECHANICAL,S1.P1.OA.10.3.4,"Floor Cleanouts, Cast Iron",,,,,,,,, -   , -   
MECHANICAL,S1.P1.OA.10.3.4.1,110 mm diameter,EACH,,,,,, 68.00 ,, 68.00 , 68.00 
MECHANICAL,S1.P1.OA.10.3.4.2,90 mm diameter,EACH,,,,,, 8.00 ,, 8.00 , 8.00 
MECHANICAL,S1.P1.OA.10.3.5,"Wall Cleanouts, Cast Iron ",,,,,,,,, -   , -   
MECHANICAL,S1.P1.OA.10.3.5.1,110 mm diameter,EACH,,,,,, 8.00 ,, 8.00 , 8.00 
MECHANICAL,S1.P1.OA.10.4,LPG System,,,,,,,,, -   , -   
MECHANICAL,S1.P1.OA.10.4.1,"LPG Pipes (Carbon Steel), complete with all connections, insulation, hangers and supports, steel pipe sleeves, and all accessories, and testing",,,,,,,,, -   , -   
MECHANICAL,S1.P1.OA.10.4.1.1,15 mm diameter,M.L,,,,,, 36.00 ,, 36.00 , 36.00 
MECHANICAL,S1.P1.OA.10.4.2,"LPG Flexible Supply Hoses with Ball Valve, 15 mm diameter",EACH,,,,,, 8.00 ,, 8.00 , 8.00 
MECHANICAL,S1.P1.OA.10.4.3,"LPG Meters, 15 mm diameter",EACH,,,,,, 8.00 ,, 8.00 , 8.00 
MECHANICAL,S1.P1.OA.10.5,For External Use,,,,,,,,, -   , -   
MECHANICAL,S1.P1.OA.10.5.1,"Water Pipes, including trench excavation and backfilling",,,,,,,,, -   , -   
MECHANICAL,S1.P1.OA.10.5.1.1,"75 mm diameter, upvc",M.L,,,,,, 29.00 ,, 29.00 , 29.00 
MECHANICAL,S1.P1.OA.10.5.1.2,"63 mm diameter, upvc",M.L,,,,,, -   ,, -   , -   
MECHANICAL,S1.P1.OA.10.5.1.3,"Fire Pipe (upvc), 110 mm diameter",M.L,,,,,, 18.00 ,, 18.00 , 18.00 
MECHANICAL,S1.P1.OA.10.5.2,Miscellaneous Valves/Accessories,,,,,,,,, -   , -   
MECHANICAL,S1.P1.OA.10.5.2.1,"Gate Valve including Valve Box, 63 mm diameter",EACH,,,,,, 2.00 ,, 2.00 , 2.00 
MECHANICAL,S1.P1.OA.10.5.2.2,"(PIV) Post Indicator Valve, 100 mm diameter",EACH,,,,,, 1.00 ,, 1.00 , 1.00 
MECHANICAL,S1.P1.OA.10.5.3,"Sewer Pipes (UPVC), including trench excavation and backfilling",,,,,,,,, -   , -   
MECHANICAL,S1.P1.OA.10.5.3.1,160 mm diameter,M.L,,,,,, 206.00 ,, 206.00 , 206.00 
MECHANICAL,S1.P1.OA.10.5.3.2,110 mm diameter,M.L,,,,,, 54.00 ,, 54.00 , 54.00 
MECHANICAL,S1.P1.OA.10.5.4,Sewer Manholes & Covers,,,,,,,,, -   , -   
MECHANICAL,S1.P1.OA.10.5.4.1,"Sewer Manhole, Type A, cast-in-place concrete, including cast iron cover and frame, and all civil works related thereto (Dwg 0-00-XP-01)",EACH,,,,,, 19.00 ,, 19.00 , 19.00 
MECHANICAL,S1.P1.OA.10.5.5,LPG System,,,,,,,,, -   , -   
MECHANICAL,S1.P1.OA.10.5.5.1,"LPG Pipes (Carbon Steel), complete with all connections, insulation, hangers and supports, and all accessories, concrete encasements, including trenches for buried pipes, and testing. ",,,,,,,,, -   , -   
MECHANICAL,S1.P1.OA.10.5.5.1.1,32 mm diameter,M.L,,,,, 121.00 ,,, 121.00 , 121.00 
MECHANICAL,S1.P1.OA.10.5.5.2,"LPG Steel Tanks,1750 liters capacity, complete with supports, pressure regulators, valves, gauges, and all other appurtenances, truck fill point assembly, including civil/structural works related thereto, testing, as shown on Dwg 1-XP-P-05",EACH,,,,, 2.00 ,,, 2.00 , 2.00 
MECHANICAL,S1.P1.OA.10.5.6,"Bump Posts, 100 mm diameter x 1000 mm high steel pipe filled with concrete, painted",EACH,,,,,,,, -   , -   
MECHANICAL,S1.P1.OA.11,"HEATING, VENTILATING AND AIR CONDITIONING SYSTEMS",,,,,,,,, -   , -   
MECHANICAL,S1.P1.OA.11.1,"Exhaust Fans, complete with all other appurtenances",,,,,,,,, -   , -   
MECHANICAL,S1.P1.OA.11.1.1,@ Ground Floor,,,,,,,,, -   , -   
MECHANICAL,S1.P1.OA.11.1.1.1,"EF - (1),  air flow = 0.053 cms @ 30 pascals static pressure, mounted above window, propeller type with automatic gravity shutter",EACH,,,,, 16.00 ,,, 16.00 , 16.00 
MECHANICAL,S1.P1.OA.11.1.1.2,"EF - (2),  air flow = 0.025 cms @ 30 pascals static pressure, mounted above window, propeller type with automatic gravity shutter",EACH,,,,, 4.00 ,,, 4.00 , 4.00 
MECHANICAL,S1.P1.OA.11.1.2,@ First Floor,,,,,,,,, -   , -   
MECHANICAL,S1.P1.OA.11.1.2.1,"EF - (1),  air flow = 0.053 cms @ 30 pascals static pressure, mounted above window, propeller type with automatic gravity shutter",EACH,,,,, 16.00 ,,, 16.00 , 16.00 
MECHANICAL,S1.P1.OA.11.1.2.2,"EF - (2),  air flow = 0.025 cms @ 30 pascals static pressure, mounted above window, propeller type with automatic gravity shutter",EACH,,,,, 4.00 ,,, 4.00 , 4.00 
MECHANICAL,S1.P1.OA.11.1.3,@ Roof Deck,,,,,,,,, -   , -   
MECHANICAL,S1.P1.OA.11.1.3.1,"EF - (3),  air flow = 0.071 cms @ 75 pascals static pressure, roof mounted, centrifugal type, including ductworks thru roof and backdraft damper",EACH,,,,, 4.00 ,,, 4.00 , 4.00 
MECHANICAL,S1.P1.OA.11.2,"Split Type AirConditioning Units, complete with all refrigerant lines, insulations, condensate drains tap to nearest floor drain & nearest daylight, pipe sleeves, metal jackets, controls, wires & all other appurtenances, including all civil/structural works related thereto, testing, as shown on Dwg 5-01-M-01 TO M-03",,,,,,,,, -   , -   
MECHANICAL,S1.P1.OA.11.3,"Ductworks of Kitchen Range Hood thru Wall, 254 mm x 82 mm x 4.0 m L, including louvers & other accessories",EACH,,,,, 8.00 ,,, 8.00 , 8.00 
MECHANICAL,S1.P1.OA.12,FIRE PROTECTION SYSTEMS,,,,,,,,, -   , -   
MECHANICAL,S1.P1.OA.12.1,Standpipe and Hose System,,,,,,,,, -   , -   
MECHANICAL,S1.P1.OA.12.1.1,"Fire Protection Standpipe, complete with all connections, fittings and supports, including trenches for buried pipes and testing",,,,,,,,, -   , -   
MECHANICAL,S1.P1.OA.12.1.1.1,"100 mm diameter, black steel",M.L,,,,, 27.00 ,,, 27.00 , 27.00 
MECHANICAL,S1.P1.OA.12.1.1.2,"80 mm diameter, black steel",M.L,,,,, 9.00 ,,, 9.00 , 9.00 
MECHANICAL,S1.P1.OA.12.1.1.3,"65 mm diameter, black steel",M.L,,,,, 9.00 ,,, 9.00 , 9.00 
MECHANICAL,S1.P1.OA.12.1.2,"Fire Hose Cabinets (FHC), steel, fully-recessed in CMUwall, complete with all appurtenances, with portable fire extinguisher (1 no.), hose - 40 mm dia x 30 meters long, as shown on drawing",EACH,,,,, 2.00 ,,, 2.00 , 2.00 
MECHANICAL,S1.P1.OA.12.1.3,Miscellaneous Valves/Accessories,,,,,, -   ,,, -   , -   
MECHANICAL,S1.P1.OA.12.1.3.1,"Check Valve, 100 mm diameter",EACH,,,,, 2.00 ,,, 2.00 , 2.00 
MECHANICAL,S1.P1.OA. 12.1.3.2,"Riser Drain Valve, 50 mm diameter",EACH,,,,, 1.00 ,,, 1.00 , 1.00 
MECHANICAL,S1.P1.OA.12.1.3.3,"Presssure Regulating Valve, 65 mm diameter",EACH,,,,, 2.00 ,,, 2.00 , 2.00 
MECHANICAL,S1.P1.OA. 12.1.3.4,"Siamese Hose Valve Connection with Cap, 100 x 65 mm x 65 mm diameter (for Fire Department Connection)",EACH,,,,, 1.00 ,,, 1.00 , 1.00 
MECHANICAL,S1.P1.OA.12.1.3.5,"Automatic Air Vent, 15 mm diameter",EACH,,,,, 1.00 ,,, 1.00 , 1.00 
MECHANICAL,S1.P1.OA.12.2,"Portable Fire Extinguishers, complete with all appurtenances",,,,,, 1.00 ,,, 1.00 , 1.00 
MECHANICAL,S1.P1.OA.12.2.1,"(FE),  4.54 kg, multipurpose dry chemical type ABC, 4A : 60 B:C",EACH,,,,, 8.00 ,,, 8.00 , 8.00 
MECHANICAL,,,,,,,,,,, -   , -   
MECHANICAL,S1.P3.SW.20,,,,,,,,,, -   , -   
MECHANICAL,S1.P3.SW.20.1,,,,,,,,,, -   , -   
MECHANICAL,S1.P3.SW.20.1.1,"Combined Domestic Water & Fire Water Pipes (UPVC), complete with isolation valves, pipe supports, thrust blocks, connections, concrete encasements, and all other appurtenances, including trenches for buried pipes, disinfection and testing",,,,,,,,, -   , -   
MECHANICAL,S1.P3.SW.20.1.1.1,250 mm diameter,M.L,," 1,590.00 ",,,,,," 1,590.00 "," 1,590.00 "
MECHANICAL,S1.P3.SW.20.1.1.2,225 mm diameter,M.L,, 576.00 ,,,,,, 576.00 , 576.00 
MECHANICAL,S1.P3.SW.20.1.1.3,160 mm diameter,M.L,, 218.00 ,,,,,, 218.00 , 218.00 
MECHANICAL,S1.P3.SW.20.1.1.4,110 mm diameter,M.L,, 546.00 ,,,,,, 546.00 , 546.00 
MECHANICAL,S1.P3.SW.20.1.1.5,90 mm diameter,M.L,, 95.00 ,,,,,, 95.00 , 95.00 
MECHANICAL,S1.P3.SW.20.1.2,Fire Hydrants ,,,,,,,,, -   , -   
MECHANICAL,S1.P3.SW.20.1.2.1,160 mm diameter,EACH,, 15.00 ,,,,,, 15.00 , 15.00 
MECHANICAL,S1.P3.SW.20.1.3,"Presssure Reducing Valves with Gate/Check Valves, Water Meter, including Valve Box",,,,,,,,, -   , -   
MECHANICAL,S1.P3.SW.20.1.3.1,110 mm diameter,EACH,, 35.00 ,,,,,, 35.00 , 35.00 
MECHANICAL,S1.P3.SW.20.1.3.2,90 mm diameter,EACH,, 2.00 ,,,,,, 2.00 , 2.00 
MECHANICAL,S1.P3.SW.20.1.4,"Isolation Gate Valves, including Valve Box",,,,,,,,, -   , -   
MECHANICAL,S1.P3.SW.20.1.4.1,250 mm diameter,EACH,, 2.00 ,,,,,, 2.00 , 2.00 
MECHANICAL,S1.P3.SW.20.1.4.2,225 mm diameter,EACH,, 4.00 ,,,,,, 4.00 , 4.00 
MECHANICAL,S1.P3.SW.20.1.4.3,160 mm diameter,EACH,, 17.00 ,,,,,, 17.00 , 17.00 
MECHANICAL,S1.P3.SW.20.1.4.4,110 mm diameter,EACH,, 24.00 ,,,,,, 24.00 , 24.00 
MECHANICAL,S1.P3.SW.20.1.4.5,90 mm diameter,EACH,, 2.00 ,,,,,, 2.00 , 2.00 
MECHANICAL,S1.P3.SW.20.1.5,Air Vacuum Relief Valves ,,,,,,,,, -   , -   
MECHANICAL,S1.P3.SW.20.1.5.1,225 mm diameter,EACH,, 2.00 ,,,,,, 2.00 , 2.00 
MECHANICAL,S1.P3.SW.20.1.6,Capped Lines (for Future Use),,,,,,,,, -   , -   
MECHANICAL,S1.P3.SW.20.1.6.1,250 mm diameter,EACH,, 5.00 ,,,,,, 5.00 , 5.00 
MECHANICAL,S1.P3.SW.20.1.6.2,225 mm diameter,EACH,, 1.00 ,,,,,, 1.00 , 1.00 
MECHANICAL,S1.P3.SW.20.2,Site Sanitary Sewer System,,,,,,,,, -   , -   
MECHANICAL,S1.P3.SW.20.2.1,"Sewer Pipes (UPVC), complete with connections and supports, concrete encasements, including trenches for buried pipes and testing",,,,,,,,, -   , -   
MECHANICAL,S1.P3.SW.20.2.1.1,450 mm diameter,M.L,, 281.00 ,,,,,, 281.00 , 281.00 
MECHANICAL,S1.P3.SW.20.2.1.2,400 mm diameter,M.L,, 507.00 ,,,,,, 507.00 , 507.00 
MECHANICAL,S1.P3.SW.20.2.1.3,315 mm diameter,M.L,, 155.00 ,,,,,, 155.00 , 155.00 
MECHANICAL,S1.P3.SW.20.2.1.4,250 mm diameter,M.L,, 393.00 ,,,,,, 393.00 , 393.00 
MECHANICAL,S1.P3.SW.20.2.1.5,225 mm diameter,M.L,, 960.00 ,,,,,, 960.00 , 960.00 
MECHANICAL,S1.P3.SW.20.2.1.6,160 mm diameter,M.L,," 4,423.00 ",,,,,," 4,423.00 "," 4,423.00 "
MECHANICAL,S1.P3.SW.20.2.2,Sewer Manholes & Covers,,,,,,,,, -   , -   
MECHANICAL,S1.P3.SW.20.2.3,Stub-Out connections with cap (for Future Connection),,,,,,,,, -   , -   
MECHANICAL,S1.P3.SW.20.2.3.1,450 mm diameter,EACH,, 1.00 ,,,,,, 1.00 , 1.00 
MECHANICAL,S1.P3.SW.20.2.3.2,315 mm diameter,EACH,, 1.00 ,,,,,, 1.00 , 1.00 
MECHANICAL,S1.P3.SW.20.3,Irrigation System,,,,,,,,, -   , -   
MECHANICAL,S1.P3.SW.20.3.1,"Irrigation Pipes (UPVC), complete with isolation valves, connections, supports, concrete encasements, including trenches for buried pipes, and testing",,,,,,,,, -   , -   
MECHANICAL,S1.P3.SW.20.3.1.1,110 mm diameter ,M.L,, 446.00 ,,,,,, 446.00 , 446.00 
MECHANICAL,S1.P3.SW.20.3.1.2,90 mm diameter ,M.L,, 17.00 ,,,,,, 17.00 , 17.00 
MECHANICAL,S1.P3.SW.20.3.1.3,63 mm diameter ,M.L,, 370.00 ,,,,,, 370.00 , 370.00 
MECHANICAL,S1.P3.SW.20.3.1.4,50 mm diameter ,M.L,, 77.00 ,,,,,, 77.00 , 77.00 
MECHANICAL,S1.P3.SW.20.3.1.5,40 mm diameter,M.L,, 265.00 ,,,,,, 265.00 , 265.00 
MECHANICAL,S1.P3.SW.20.3.1.6,32 mm diameter ,M.L,, 286.00 ,,,,,, 286.00 , 286.00 
MECHANICAL,S1.P3.SW.20.3.1.7,25 mm diameter,M.L,, 367.00 ,,,,,, 367.00 , 367.00 
MECHANICAL,S1.P3.SW.20.3.1.8,20 mm diameter ,M.L,, 118.00 ,,,,,, 118.00 , 118.00 
MECHANICAL,S1.P3.SW.20.3.2,"Irrigation Tubing (Polyethylene), complete with isolation valves, connections, supports, concrete encasements, including trenches for buried pipes, and testing",,,,,,,,, -   , -   
MECHANICAL,S1.P3.SW.20.3.2.1,20 mm diameter ,M.L,," 15,386.00 ",,,,,," 15,386.00 "," 15,386.00 "
MECHANICAL,S1.P3.SW.20.3.4,"Isolation Gate Valves, including Valve Box",,,,,,,,, -   , -   
MECHANICAL,S1.P3.SW.20.3.4.1,110 mm diameter ,EACH,, 1.00 ,,,,,, 1.00 , 1.00 
MECHANICAL,S1.P3.SW.20.3.4.2,63 mm diameter ,EACH,, 1.00 ,,,,,, 1.00 , 1.00 
MECHANICAL,S1.P3.SW.20.3.5,"Gate/Check Valves, with pressure gauge & pressure vacuum breaker assembly, including Valve Box",,,,,,,,, -   , -   
MECHANICAL,S1.P3.SW.20.3.5.1,63 mm diameter ,EACH,, 4.00 ,,,,,, 4.00 , 4.00 
MECHANICAL,S1.P3.SW.20.3.6,"Irrigation Controller Unit/Timer, complete with wires, conduits, and all other appurtenances as shown on drawing ",,,,,,,,, -   , -   
MECHANICAL,S1.P3.SW.20.3.6.1,"ICU - (11, 12, 13, 14)",EACH,, 4.00 ,,,,,, 4.00 , 4.00 
MECHANICAL,S1.P3.SW.20.3.7,"Solenoid Valves in Valve Box, complete with control wires, conduits, and all accessories as shown on drawing",,,,,,,,, -   , -   
MECHANICAL,S1.P3.SW.20.3.7.1,"SV , size 25 mm diameter",EACH,, 35.00 ,,,,,, 35.00 , 35.00 
MECHANICAL,S1.P3.SW.20.3.7.2,"SV , size 20 mm diameter",EACH,, 23.00 ,,,,,, 23.00 , 23.00 
MECHANICAL,S1.P3.SW.20.3.8,Emitters,,,,,,,,, -   , -   
MECHANICAL,S1.P3.SW.20.3.8.1,"Emitter, 6 outlets, 2 gph capacity each",EACH,, 364.00 ,,,,,, 364.00 , 364.00 
MECHANICAL,S1.P3.SW.20.3.8.2,"Emitter, 6 outlets, 1 gph capacity each",EACH,, 180.00 ,,,,,, 180.00 , 180.00 
MECHANICAL,S1.P3.SW.20.3.8.3,"Drip Emitter, 1 outlet, 4 gph capacity each",EACH,," 3,081.00 ",,,,,," 3,081.00 "," 3,081.00 "
MECHANICAL,S1.P3.SW.20.3.9,Spray Sprinklers,,,,,,,,, -   , -   
MECHANICAL,S1.P3.SW.20.3.9.1,"Pop-up spray sprinkler, full circle ",EACH,, 9.00 ,,,,,, 9.00 , 9.00 
MECHANICAL,S1.P3.SW.20.3.9.2,"Pop-up spray sprinkler, half circle ",EACH,, 8.00 ,,,,,, 8.00 , 8.00 
MECHANICAL,S1.P3.SW.20.3.10,Capped Line (for Future Use),,,,,,,,, -   , -   
MECHANICAL,S1.P3.SW.20.3.10.1,110 mm diameter ,EACH,, 1.00 ,,,,,, 1.00 , 1.00 
MECHANICAL,S1.P6.SW.20.1.1,"Combined Domestic Water & Fire Water Pipes (UPVC), complete with isolation valves, pipe supports, thrust blocks, connections, concrete encasements, and all other appurtenances, including trenches for buried pipes, disinfection and testing",,,,,,,,, -   , -   
MECHANICAL,S1.P6.SW.20.1.1.1,250 mm diameter,M.L, -   ,,,,,,, -   , -   
MECHANICAL,S1.P6.SW.20.1.1.2,225 mm diameter,M.L, -   ,,,,,,, -   , -   
MECHANICAL,S1.P6.SW.20.1.1.3,160 mm diameter,M.L, -   ,,,,,,, -   , -   
MECHANICAL,S1.P6.SW.20.1.1.4,110 mm diameter,M.L, -   ,,,,,,, -   , -   
MECHANICAL,S1.P6.SW.20.1.1.5,90 mm diameter,M.L, 146.00 ,,,,,,, 146.00 , 146.00 
MECHANICAL,S1.P6.SW.20.1.1.6,75 mm diameter,M.L, 14.00 ,,,,,,, 14.00 , 14.00 
MECHANICAL,S1.P6.SW.20.1.1.7,50 mm diameter,M.L," 1,050.00 ",,,,,,," 1,050.00 "," 1,050.00 "
MECHANICAL,S1.P6.SW.20.1.1.8,40 mm diameter,M.L, 20.00 ,,,,,,, 20.00 , 20.00 
MECHANICAL,S1.P6.SW.20.1.1.9,25 mm diameter,M.L, -   ,,,,,,, -   , -   
MECHANICAL,S1.P6.SW.20.1.2,Fire Hydrants,,,,,,,,, -   , -   
MECHANICAL,S1.P6.SW.20.1.2.1,160 mm diameter,EACH, -   ,,,,,,, -   , -   
MECHANICAL,S1.P6.SW.20.1.3,"Isolation Gate Valves, including Valve Box",,,,,,,,, -   , -   
MECHANICAL,S1.P6.SW.20.1.3.1,160 mm diameter,EACH, -   ,,,,,,, -   , -   
MECHANICAL,S1.P6.SW.20.1.3.2,110 mm diameter,EACH, -   ,,,,,,, -   , -   
MECHANICAL,S1.P6.SW.20.1.3.3,90 mm diameter,EACH, 2.00 ,,,,,,, 2.00 , 2.00 
MECHANICAL,S1.P6.SW.20.1.4,"Presssure Reducing Valves with Gate/Check Valves, Water Meter, including Valve Box",,,,,,,,, -   , -   
MECHANICAL,S1.P6.SW.20.1.4.1,90 mm diameter,EACH, 2.00 ,,,,,,, 2.00 , 2.00 
MECHANICAL,S1.P6.SW.20.1.4.2,75 mm diameter,EACH, 1.00 ,,,,,,, 1.00 , 1.00 
MECHANICAL,S1.P6.SW.20.1.4.3,50 mm diameter,EACH, -   ,,,,,,, -   , -   
MECHANICAL,S1.P6.SW.20.1.4.4,25 mm diameter,EACH, -   ,,,,,,, -   , -   
MECHANICAL,S1.P6.SW.20.1.5,Capped Line ( for Future Use ),,,,,,,,, -   , -   
MECHANICAL,S1.P6.SW.20.1.5.1,250 mm diameter,EACH, -   ,,,,,,, -   , -   
MECHANICAL,S1.P6.SW.20.1.5.2,225 mm diameter,EACH, -   ,,,,,,, -   , -   
MECHANICAL,S1.P6.SW.20.1.5.3,90 mm diameter,EACH, 1.00 ,,,,,,, 1.00 , 1.00 
MECHANICAL,S1.P6.SW.20.1.5.4,75 mm diameter,EACH, 1.00 ,,,,,,, 1.00 , 1.00 
MECHANICAL,S1.P6.SW.20.2,Site Sanitary Sewer System,,,,,,,,, -   , -   
MECHANICAL,S1.P6.SW.20.2.1,"Sewer Pipes (UPVC), complete with connections and supports, concrete encasements, including trenches for buried pipes and testing",,,,,,,,, -   , -   
MECHANICAL,S1.P6.SW.20.2.1.1,160 mm diameter,M.L, 518.00 ,,,,,,, 518.00 , 518.00 
MECHANICAL,S1.P6.SW.20.2.2,Sewer Manholes & Covers,,,,,,,,, -   , -   
MECHANICAL,S1.P6.SW.20.2.2.2,"Sewer Manhole, Type B, cast-in-place concrete or precast concrete rings, including cast iron cover and frame, manhole steps and all civil works related thereto (Dwg 0-00-XP-01)",EACH, -   ,,,,,,, -   , -   
MECHANICAL,S1.P6.SW.20.2.3,Stub-Out connection with cap ( for Future Connection ),,,,,,,,, -   , -   
MECHANICAL,S1.P6.SW.20.2.3.1,160 mm diameter,EACH, 4.00 ,,,,,,, 4.00 , 4.00 
MECHANICAL,S1.P6.SW.20.3,Irrigation System,,,,,,,,, -   , -   
MECHANICAL,S1.P6.SW.20.3.1,"Irrigation Pipes (UPVC), complete with isolation valves, connections, supports, concrete encasements, including trenches for buried pipes, and testing",,,,,,,,, -   , -   
MECHANICAL,S1.P6.SW.20.3.1.1,160 mm diameter ,M.L, -   ,,,,,,, -   , -   
MECHANICAL,S1.P6.SW.20.3.1.2,110 mm diameter ,M.L, 143.00 ,,,,,,, 143.00 , 143.00 
MECHANICAL,S1.P6.SW.20.3.1.3,75 mm diameter ,M.L, 26.00 ,,,,,,, 26.00 , 26.00 
MECHANICAL,S1.P6.SW.20.3.1.4,63 mm diameter ,M.L, 35.00 ,,,,,,, 35.00 , 35.00 
MECHANICAL,S1.P6.SW.20.3.1.5,50 mm diameter ,M.L, 47.00 ,,,,,,, 47.00 , 47.00 
MECHANICAL,S1.P6.SW.20.3.1.6,40 mm diameter,M.L, 95.00 ,,,,,,, 95.00 , 95.00 
MECHANICAL,S1.P6.SW.20.3.1.7,32 mm diameter ,M.L, 356.00 ,,,,,,, 356.00 , 356.00 
MECHANICAL,S1.P6.SW.20.3.1.8,25 mm diameter,M.L, 515.00 ,,,,,,, 515.00 , 515.00 
MECHANICAL,S1.P6.SW.20.3.1.9,20 mm diameter ,M.L," 1,107.00 ",,,,,,," 1,107.00 "," 1,107.00 "
MECHANICAL,S1.P6.SW.20.3.2,"Irrigation Tubing (Polyethylene), complete with isolation valves, connections, supports, concrete encasements, including trenches for buried pipes, and testing",,,,,,,,, -   , -   
MECHANICAL,S1.P6.SW.20.3.2.1,25 mm diameter,M.L," 1,109.00 ",,,,,,," 1,109.00 "," 1,109.00 "
MECHANICAL,S1.P6.SW.20.3.2.2,20 mm diameter ,M.L," 2,712.00 ",,,,,,," 2,712.00 "," 2,712.00 "
MECHANICAL,S1.P6.SW.20.3.3,"Distribution Tubing, 0.25 inches diameter, polyvinyl",M.L," 1,764.00 ",,,,,,," 1,764.00 "," 1,764.00 "
MECHANICAL,S1.P6.SW.20.3.4,"Isolation Gate Valves, including Valve Box",,,,,,,,, -   , -   
MECHANICAL,S1.P6.SW.20.3.4.1,160 mm diameter ,EACH, -   ,,,,,,, -   , -   
MECHANICAL,S1.P6.SW.20.3.4.2,25 mm diameter,EACH, -   ,,,,,,, -   , -   
MECHANICAL,S1.P6.SW.20.3.5,"Gate Valves, with pressure gauge & pressure vacuum breaker assembly, including Valve Box",,,,,,,,, -   , -   
MECHANICAL,S1.P6.SW.20.3.5.1,40 mm diameter,EACH, -   ,,,,,,, -   , -   
MECHANICAL,S1.P6.SW.20.3.5.2,32 mm diameter ,EACH, -   ,,,,,,, -   , -   
MECHANICAL,S1.P6.SW.20.3.6,"Solenoid Valves in Valve Box, complete with control wires, conduits, and all accessories as shown on drawing",,,,,,,,, -   , -   
MECHANICAL,S1.P6.SW.20.3.6.1,"SV , size 63 mm diameter",EACH, 1.00 ,,,,,,, 1.00 , 1.00 
MECHANICAL,S1.P6.SW.20.3.6.2,"SV , size 50 mm diameter",EACH, 5.00 ,,,,,,, 5.00 , 5.00 
MECHANICAL,S1.P6.SW.20.3.6.3,"SV , size 40 mm diameter",EACH, 2.00 ,,,,,,, 2.00 , 2.00 
MECHANICAL,S1.P6.SW.20.3.6.4,"SV , size 32 mm diameter",EACH, -   ,,,,,,, -   , -   
MECHANICAL,S1.P6.SW.20.3.6.5,"SV , size 25 mm diameter",EACH, 9.00 ,,,,,,, 9.00 , 9.00 
MECHANICAL,S1.P6.SW.20.3.6.6,"SV , size 20 mm diameter",EACH, 5.00 ,,,,,,, 5.00 , 5.00 
MECHANICAL,S1.P6.SW.20.3.7,Emitters,,,,,,,,, -   , -   
MECHANICAL,S1.P6.SW.20.3.7.1,"Emitter, 6 outlets, 2 gph capacity each",EACH, 134.00 ,,,,,,, 134.00 , 134.00 
MECHANICAL,S1.P6.SW.20.3.7.2,"Emitter, 6 outlets, 1 gph capacity each",EACH, 160.00 ,,,,,,, 160.00 , 160.00 
MECHANICAL,S1.P6.SW.20.3.7.3,"Drip Emitter, 1 outlet, 4 gph capacity each",EACH, 486.00 ,,,,,,, 486.00 , 486.00 
MECHANICAL,S1.P6.SW.20.3.8,Spray Sprinklers,,,,,,,,, -   , -   
MECHANICAL,S1.P6.SW.20.3.8.1,"Pop-up spray sprinkler, full circle ",EACH, 131.00 ,,,,,,, 131.00 , 131.00 
MECHANICAL,S1.P6.SW.20.3.8.2,"Pop-up spray sprinkler, half circle ",EACH, 13.00 ,,,,,,, 13.00 , 13.00 
MECHANICAL,S1.P6.SW.20.3.8.3,"Pop-up spray sprinkler, quarter circle ",EACH, -   ,,,,,,, -   , -   
MECHANICAL,S1.P6.SW.20.3.8.4,"Pop-up spray sprinkler, 270 degrees",EACH, 2.00 ,,,,,,, 2.00 , 2.00 
MECHANICAL,S1.P6.SW.20.3.9,"Hose Bibbs, 25 mm diameter with vacuum breaker",EACH, -   ,,,,,,, -   , -   
MECHANICAL,S1.P6.SW.20.3.10,Capped Lines (for Future Use),,,,,,,,, -   , -   
MECHANICAL,S1.P6.SW.20.3.10.1,110 mm diameter ,EACH, 2.00 ,,,,,,, 2.00 , 2.00 
MECHANICAL,S1.P6.SW.20.3.10.2,75 mm diameter ,EACH, -   ,,,,,,, -   , -   
MECHANICAL,S1.P6.SW.20.3.10.3,40 mm diameter,EACH, -   ,,,,,,, -   , -   
MECHANICAL,S1.P6.SW.20.3.10.4,25 mm diameter,EACH, 1.00 ,,,,,,, 1.00 , 1.00 
MECHANICAL,S1.P9.SW.20.1.1,"Combined Domestic Water & Fire Water Pipes (UPVC), complete with isolation valves, pipe supports, thrust blocks, connections, concrete encasements, and all other appurtenances, including trenches for buried pipes, disinfection and testing",,,,,,,,, -   , -   
MECHANICAL,S1.P9.SW.20.1.1.1,225 mm diameter,M.L," 1,230.00 ",,,,,,," 1,230.00 "," 1,230.00 "
MECHANICAL,S1.P9.SW.20.1.2,Capped Line (for Future Use),EACH, 1.00 ,,,,,,, 1.00 , 1.00 
MECHANICAL,S1.P10.SW.20.2.1,"Sewer Pipes (UPVC), complete with connections and supports, concrete encasements, including trenches for buried pipes and testing",,,,,,,,, -   , -   
MECHANICAL,S1.P10.SW.20.2.1.1,450 mm diameter,M.L," 3,300.00 ",,,,,,," 3,300.00 "," 3,300.00 "
MECHANICAL,S1.P10.SW.20.2.2,Sewer Manholes & Covers,,,,,,,,, -   , -   
MECHANICAL,S1.P10.SW.20.2.3,Stub-Out connection with cap ( for Future Connection ),EACH, 1.00 ,,,,,,, 1.00 , 1.00 
MECHANICAL,S1.P10.SW.20.2.4,"Connection of 450 mm diameter sewer pipe to STP Lift Station. For Tapping Points, Contractor to verify. ",EACH, 1.00 ,,,,,,, 1.00 , 1.00 
